itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int_key.started,int_key.keys,int_key.rt,prepare_gyak_text.started,fix.started,word1.started,word2.started,gykrec_inst.started,gyakrec_inst.started,gyakrec_inst.keys,gyakrec_inst.rt,cueword1.started,cue_resp.started,cue_cont_text.started,cue_space.started,cueword,cue_resp.keys,cue_resp.rt,test_ansbox.started,ans_text.started,ans_continue.started,test_ansbox.text,ans_continue.keys,ans_continue.rt,feedback_text.started,feedback_cont.started,feedback_cont.keys,feedback_cont.rt,main_prep.started,main_prep_resp.started,main_prep_resp.keys,main_prep_resp.rt,preparation.started,break_text.started,key_resp.started,key_resp.keys,key_resp.rt,test_instruction.started,test_i_key.started,test_i_key.keys,test_i_key.rt,rep_routine.started,encrep_textbox.started,rep_routine.keys,rep_routine.rt,fix.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
9,szilva,kecske,,,,,,,,,1,0,1,0,0,3,3,8,,,,,,,,,,700.5439570210874,701.5659286892042,701.5659286892042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
4,mocsár,ananász,,,,,,,,,1,0,1,0,0,4,4,3,,,,,,,,,,707.5348373809829,708.5652531832457,708.5652531832457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
6,menta,triatlon,,,,,,,,,1,0,1,0,0,5,5,5,,,,,,,,,,714.5345916850492,715.5524446964264,715.5524446964264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
10,málna,dominó,,,,,,,,,1,0,1,0,0,6,6,9,,,,,,,,,,721.5482165645808,722.5653082318604,722.5653082318604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
7,csavarhúzó,hering,,,,,,,,,1,0,1,0,0,7,7,6,,,,,,,,,,728.5376165332273,729.5606076810509,729.5606076810509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
2,kötény,tisztás,,,,,,,,,1,0,1,0,0,8,8,1,,,,,,,,,,735.5350404679775,736.5489539606497,736.5489539606497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
5,karton,hentes,,,,,,,,,1,0,1,0,0,9,9,4,,,,,,,,,,742.5504278196022,743.5601840903983,743.5601840903983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
5,karton,hentes,,,,,,,,,1,0,1,0,,,,,0,0,0,4,,,,,,761.3905972810462,,,,,,,762.3977936580777,762.3977936580777,762.3977936580777,762.3977936580777,karton,4,9.978687184862792,772.4099829318002,772.4099829318002,772.4099829318002, hering,down,2.730122168548405,775.1566691584885,775.1566691584885,4,8.184208295308053,,,,,757.3656222242862,749.5373353837058,749.5373353837058,u,1.6664694240316749,751.2359826304018,751.2359826304018,4,6.099766327999532,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
7,csavarhúzó,hering,,,,,,,,,1,0,1,0,,,,,0,1,1,6,,,,,,783.3712113192305,,,,,,,784.394204955548,784.394204955548,784.394204955548,784.394204955548,hering,4,7.969378453679383,792.4138328796253,792.4138328796253,792.4138328796253, csavarhúzó,down,3.4939324082806706,795.9578001638874,795.9578001638874,4,1.8742919806391,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
10,málna,dominó,,,,,,,,,1,0,1,0,,,,,0,2,2,9,,,,,,797.8609745446593,,,,,,,798.8831664053723,798.8831664053723,798.8831664053723,798.8831664053723,málna,None,,813.8751035649329,813.8751035649329,813.8751035649329, 4,down,1.7284150552004576,815.6486116051674,815.6486116051674,4,2.7332378309220076,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
6,menta,triatlon,,,,,,,,,1,0,1,0,,,,,0,3,3,5,,,,,,818.4010769529268,,,,,,,819.4190885769203,819.4190885769203,819.4190885769203,819.4190885769203,triatlon,None,,834.4227177100256,834.4227177100256,834.4227177100256, ,down,2.316013114526868,836.7775952853262,836.7775952853262,4,5.1024167239665985,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
3,fogó,limonádé,,,,,,,,,1,0,1,0,,,,,0,4,4,2,,,,,,841.8987120594829,,,,,,,842.9298366466537,842.9298366466537,842.9298366466537,842.9298366466537,fogó,None,,857.9232467319816,857.9232467319816,857.9232467319816, ,down,1.8393087377771735,859.791512821801,859.791512821801,4,2.298170367255807,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
9,szilva,kecske,,,,,,,,,1,0,1,0,,,,,0,5,5,8,,,,,,862.1160035179928,,,,,,,863.1423868117854,863.1423868117854,863.1423868117854,863.1423868117854,kecske,4,4.369409492239356,867.5474829003215,867.5474829003215,867.5474829003215, szilva,down,3.862929050810635,871.4727866295725,871.4727866295725,4,2.5558055751025677,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
8,szalvéta,puska,,,,,,,,,1,0,1,0,,,,,0,6,6,7,,,,,,874.0484264940023,,,,,,,875.0752672785893,875.0752672785893,875.0752672785893,875.0752672785893,puska,None,,890.0692614335567,890.0692614335567,890.0692614335567, ,down,1.0845671351999044,891.181261989288,891.181261989288,4,0.9743203446269035,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
4,mocsár,ananász,,,,,,,,,1,0,1,0,,,,,0,7,7,3,,,,,,892.1810047868639,,,,,,,893.2124693030491,893.2124693030491,893.2124693030491,893.2124693030491,ananász,4,7.56867128610611,900.8241930622607,900.8241930622607,900.8241930622607, mocsár,down,2.474499794654548,903.3562108594924,903.3562108594924,4,4.234580134041607,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
1,bagoly,kirakó,,,,,,,,,1,0,1,0,,,,,0,8,8,0,,,,,,907.6143147526309,,,,,,,908.63893930614,908.63893930614,908.63893930614,908.63893930614,kirakó,None,,923.6218187147751,923.6218187147751,923.6218187147751, balta,down,3.0999647499993443,926.7759721437469,926.7759721437469,4,6.161606838926673,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
2,kötény,tisztás,,,,,,,,,1,0,1,0,,,,,0,9,9,1,,,,,,932.9631637800485,,,,,,,933.9912967970595,933.9912967970595,933.9912967970595,933.9912967970595,kötény,4,9.595439607277513,943.6076564174145,943.6076564174145,943.6076564174145, tinta,down,2.3455002531409264,945.979268935509,945.979268935509,4,5.976395067758858,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952.0170142259449,952.0170142259449,4,114.69286826811731,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
4,mocsár,ananász,,,,,,,,,2,0,2,0,0,0,0,3,,,,,,,,,,1070.7522212071344,1071.7560680452734,1071.7560680452734,,,,,,,,,,,,,,,,,,,,,,,,,,1066.736013730988,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
10,málna,dominó,,,,,,,,,2,0,2,0,0,1,1,9,,,,,,,,,,1077.7515335716307,1078.7566546034068,1078.7566546034068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
9,szilva,kecske,,,,,,,,,2,0,2,0,0,2,2,8,,,,,,,,,,1084.7360398555174,1085.7558416323736,1085.7558416323736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
8,szalvéta,puska,,,,,,,,,2,0,2,0,0,3,3,7,,,,,,,,,,1091.7379942201078,1092.7639825362712,1092.7639825362712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
7,csavarhúzó,hering,,,,,,,,,2,0,2,0,0,4,4,6,,,,,,,,,,1098.7356781549752,1099.7558895274997,1099.7558895274997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
6,menta,triatlon,,,,,,,,,2,0,2,0,0,5,5,5,,,,,,,,,,1105.7381180003285,1106.7581772906706,1106.7581772906706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
2,kötény,tisztás,,,,,,,,,2,0,2,0,0,6,6,1,,,,,,,,,,1112.7354088239372,1113.7557051004842,1113.7557051004842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
1,bagoly,kirakó,,,,,,,,,2,0,2,0,0,7,7,0,,,,,,,,,,1119.7398422202095,1120.7686274163425,1120.7686274163425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
3,fogó,limonádé,,,,,,,,,2,0,2,0,0,8,8,2,,,,,,,,,,1126.7376605095342,1127.7566123064607,1127.7566123064607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
5,karton,hentes,,,,,,,,,2,0,2,0,0,9,9,4,,,,,,,,,,1133.7465136181563,1134.7739751711488,1134.7739751711488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
8,szalvéta,puska,,,,,,,,,2,0,2,0,,,,,0,0,0,7,,,,,,1153.5972678707913,,,,,,,1154.5932425148785,1154.5932425148785,1154.5932425148785,1154.5932425148785,puska,None,,1169.5913466196507,1169.5913466196507,1169.5913466196507, ,down,1.415186833590269,1171.0386033570394,1171.0386033570394,4,3.6681603649631143,,,,,1149.574054975994,1140.7464744308963,1140.7464744308963,u,6.357417085207999,1147.1352489041165,1147.1352489041165,4,2.4122182773426175,,,,,,414789,2022-08-30_14h47.38.606,palt,2022.2.2,59.22753283170554,
