itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int_key.started,int_key.keys,int_key.rt,prepare_gyak_text.started,fix.started,word1.started,word2.started,gykrec_inst.started,gyakrec_inst.started,gyakrec_inst.keys,gyakrec_inst.rt,cueword1.started,cue_resp.started,cue_cont_text.started,cue_space.started,cueword,cue_resp.keys,cue_resp.rt,test_ansbox.started,ans_text.started,ans_continue.started,test_ansbox.text,ans_continue.keys,ans_continue.rt,feedback_text.started,feedback_cont.started,feedback_cont.keys,feedback_cont.rt,main_prep.started,main_prep_resp.started,main_prep_resp.keys,main_prep_resp.rt,preparation.started,break_text.started,key_resp.started,key_resp.keys,key_resp.rt,test_instruction.started,test_i_key.started,test_i_key.keys,test_i_key.rt,rep_routine.started,encrep_textbox.started,rep_routine.keys,rep_routine.rt,preparation.stopped,end_text.started,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
1,bagoly,kirakó,,,,,,,,,1,0,1,0,0,9,9,0,,,,,,,,,,499.4955000486225,500.5110721383244,500.5110721383244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
7,csavarhúzó,hering,,,,,,,,,1,0,1,0,,,,,0,0,0,6,,,,,,514.6043846299872,,,,,,,515.588631534949,515.588631534949,515.588631534949,515.588631534949,hering,4,7.951292461715639,523.5763368299231,523.5763368299231,523.5763368299231,csavarhúzó,down,3.4324554270133376,527.0487207062542,527.0487207062542,4,4.014326304197311,,,,,510.57395172212273,506.48697971738875,506.48697971738875,u,2.650467487052083,509.1672359118238,509.1672359118238,4,1.3732186621055007,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
8,szalvéta,puska,,,,,,,,,1,0,1,0,,,,,0,1,1,7,,,,,,531.0905299177393,,,,,,,532.1099090371281,532.1099090371281,532.1099090371281,532.1099090371281,puska,4,6.055019314400852,538.2097750548273,538.2097750548273,538.2097750548273,szilva,down,1.7268282631412148,539.9755253521726,539.9755253521726,4,2.776082346215844,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
2,kötény,tisztás,,,,,,,,,1,0,1,0,,,,,0,2,2,1,,,,,,542.783057491295,,,,,,,543.8096566237509,543.8096566237509,543.8096566237509,543.8096566237509,kötény,4,9.799649165943265,553.6406336696818,553.6406336696818,553.6406336696818, ,down,1.4004255011677742,555.0718284808099,555.0718284808099,4,1.5677795950323343,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
4,mocsár,ananász,,,,,,,,,1,0,1,0,,,,,0,3,3,3,,,,,,556.6723174452782,,,,,,,557.7054803678766,557.7054803678766,557.7054803678766,557.7054803678766,mocsár,4,4.42105517629534,562.1566899958998,562.1566899958998,562.1566899958998, ,down,1.4281290173530579,563.6036783345044,563.6036783345044,4,1.616313386708498,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
6,menta,triatlon,,,,,,,,,1,0,1,0,,,,,0,4,4,5,,,,,,565.242513765581,,,,,,,566.2603543354198,566.2603543354198,566.2603543354198,566.2603543354198,triatlon,4,3.4772841995581985,569.7695330670103,569.7695330670103,569.7695330670103, menta,down,1.3833515606820583,571.1983922217041,571.1983922217041,4,1.984917540103197,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
10,málna,dominó,,,,,,,,,1,0,1,0,,,,,0,5,5,9,,,,,,573.2088550981134,,,,,,,574.2351251859218,574.2351251859218,574.2351251859218,574.2351251859218,dominó,4,5.414266217499971,579.6746366200969,579.6746366200969,579.6746366200969, mocsár,down,1.9901620410382748,581.7184633295983,581.7184633295983,4,0.6047594994306564,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
5,karton,hentes,,,,,,,,,1,0,1,0,,,,,0,6,6,4,,,,,,582.3552109738812,,,,,,,583.3803841425106,583.3803841425106,583.3803841425106,583.3803841425106,karton,4,5.5674110520631075,588.9720762912184,588.9720762912184,588.9720762912184, ,down,1.348653200082481,590.3577652694657,590.3577652694657,4,0.8553031384944916,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
1,bagoly,kirakó,,,,,,,,,1,0,1,0,,,,,0,7,7,0,,,,,,591.2466557482257,,,,,,,592.2762212594971,592.2762212594971,592.2762212594971,592.2762212594971,kirakó,4,2.9229824831709266,595.2343495367095,595.2343495367095,595.2343495367095,bagoly,down,1.6138965552672744,596.8973467424512,596.8973467424512,4,1.1376701947301626,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
3,fogó,limonádé,,,,,,,,,1,0,1,0,,,,,0,8,8,2,,,,,,598.0618178071454,,,,,,,599.0812379792333,599.0812379792333,599.0812379792333,599.0812379792333,limonádé,4,11.30886366404593,610.4276717314497,610.4276717314497,610.4276717314497,fecske,down,3.62036953214556,614.1002516662702,614.1002516662702,4,0.39790728222578764,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
9,szilva,kecske,,,,,,,,,1,0,1,0,,,,,0,9,9,8,,,,,,614.5216289395466,,,,,,,615.5482573071495,615.5482573071495,615.5482573071495,615.5482573071495,szilva,4,8.903382238000631,624.4810730842873,624.4810730842873,624.4810730842873, ,down,1.4870078144595027,625.9860009802505,625.9860009802505,4,1.552220568060875,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.5718881944194,627.5718881944194,4,8.832902592606843,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
1,bagoly,kirakó,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,640.469674388878,641.454397443682,641.454397443682,,,,,,,,,,,,,,,,,,,,,,,,,,636.4373418530449,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
5,karton,hentes,,,,,,,,,2,0,2,0,0,1,1,4,,,,,,,,,,647.439598204568,648.454574406147,648.454574406147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
7,csavarhúzó,hering,,,,,,,,,2,0,2,0,0,2,2,6,,,,,,,,,,654.4376908028498,655.4559251070023,655.4559251070023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
10,málna,dominó,,,,,,,,,2,0,2,0,0,3,3,9,,,,,,,,,,661.4520555660129,662.4585596425459,662.4585596425459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
9,szilva,kecske,,,,,,,,,2,0,2,0,0,4,4,8,,,,,,,,,,668.453463180922,669.4602611586452,669.4602611586452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
8,szalvéta,puska,,,,,,,,,2,0,2,0,0,5,5,7,,,,,,,,,,675.4548894558102,676.457799853757,676.457799853757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
2,kötény,tisztás,,,,,,,,,2,0,2,0,0,6,6,1,,,,,,,,,,682.4441183712333,683.4589449791238,683.4589449791238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
6,menta,triatlon,,,,,,,,,2,0,2,0,0,7,7,5,,,,,,,,,,689.4477359978482,690.4604023555294,690.4604023555294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
4,mocsár,ananász,,,,,,,,,2,0,2,0,0,8,8,3,,,,,,,,,,696.4425185546279,697.4580231560394,697.4580231560394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
3,fogó,limonádé,,,,,,,,,2,0,2,0,0,9,9,2,,,,,,,,,,703.4375001555309,704.468836848624,704.468836848624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189616,2022-09-07_13h53.00.444,palt,2022.2.2,59.343074595539534,
