itemno,wordA,wordB,enc_gyak.thisRepN,enc_gyak.thisTrialN,enc_gyak.thisN,enc_gyak.thisIndex,rec_gyak.thisRepN,rec_gyak.thisTrialN,rec_gyak.thisN,rec_gyak.thisIndex,repeat_task.thisRepN,repeat_task.thisTrialN,repeat_task.thisN,repeat_task.thisIndex,enc_loop.thisRepN,enc_loop.thisTrialN,enc_loop.thisN,enc_loop.thisIndex,test_loop.thisRepN,test_loop.thisTrialN,test_loop.thisN,test_loop.thisIndex,int.started,int_key.started,int_key.keys,int_key.rt,prepare_gyak_text.started,fix.started,word1.started,word2.started,gykrec_inst.started,gyakrec_inst.started,gyakrec_inst.keys,gyakrec_inst.rt,cueword1.started,cue_resp.started,cue_cont_text.started,cue_space.started,cueword,cue_resp.keys,cue_resp.rt,test_ansbox.started,ans_text.started,ans_continue.started,test_ansbox.text,ans_continue.keys,ans_continue.rt,feedback_text.started,feedback_cont.started,feedback_cont.keys,feedback_cont.rt,fix.stopped,main_prep.started,main_prep_resp.started,main_prep_resp.keys,main_prep_resp.rt,preparation.started,break_text.started,key_resp.started,key_resp.keys,key_resp.rt,test_instruction.started,test_i_key.started,test_i_key.keys,test_i_key.rt,rep_routine.started,encrep_textbox.started,rep_routine.keys,rep_routine.rt,preparation.stopped,Résztvevő kódja,date,expName,psychopyVersion,frameRate,
3,fogó,limonádé,,,,,,,,,1,0,1,0,0,7,7,2,,,,,,,,,,669.9408226367086,670.9830852951854,670.9830852951854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
9,szilva,kecske,,,,,,,,,1,0,1,0,0,8,8,8,,,,,,,,,,676.9447307428345,677.9535135636106,677.9535135636106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
10,málna,dominó,,,,,,,,,1,0,1,0,0,9,9,9,,,,,,,,,,683.9383233897388,684.9461747454479,684.9461747454479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
6,menta,triatlon,,,,,,,,,1,0,1,0,,,,,0,0,0,5,,,,,,700.7673662863672,,,,,,,701.7697775186971,701.7697775186971,701.7697775186971,701.7697775186971,menta,4,5.82896226644516,707.6447877818719,707.6447877818719,707.6447877818719, triatlon,down,3.608502585440874,711.2873963415623,711.2873963415623,4,2.542105209082365,,,,,,696.7608351521194,690.934569853358,690.934569853358,u,1.838520735502243,692.7922237832099,692.7922237832099,4,3.9516151007264853,,,,,700.7673662863672,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
8,szalvéta,puska,,,,,,,,,1,0,1,0,,,,,0,1,1,7,,,,,,713.8535626400262,,,,,,,714.8781420979649,714.8781420979649,714.8781420979649,714.8781420979649,szalvéta,4,10.29856356792152,725.1977064525709,725.1977064525709,725.1977064525709, ,down,1.6069506639614701,726.8453075978905,726.8453075978905,4,1.3659878876060247,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
3,fogó,limonádé,,,,,,,,,1,0,1,0,,,,,0,2,2,2,,,,,,728.2294213287532,,,,,,,729.2319087581709,729.2319087581709,729.2319087581709,729.2319087581709,fogó,4,12.784270647913218,742.0485294377431,742.0485294377431,742.0485294377431, ,down,1.8755074813961983,743.9445186369121,743.9445186369121,4,1.1776010524481535,729.2319087581709,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
1,bagoly,kirakó,,,,,,,,,1,0,1,0,,,,,0,3,3,0,,,,,,745.1542262034491,,,,,,,746.1641311356798,746.1641311356798,746.1641311356798,746.1641311356798,kirakó,4,6.392197639681399,752.5823485832661,752.5823485832661,752.5823485832661, ,down,2.3656656853854656,754.9699039114639,754.9699039114639,4,1.2030992228537798,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
5,karton,hentes,,,,,,,,,1,0,1,0,,,,,0,4,4,4,,,,,,756.2000968474895,,,,,,,757.2079475820065,757.2079475820065,757.2079475820065,757.2079475820065,hentes,4,4.520565839484334,761.7619158988819,761.7619158988819,761.7619158988819, ,down,1.6827351469546556,763.4747898215428,763.4747898215428,4,0.8804960250854492,757.2079475820065,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
2,kötény,tisztás,,,,,,,,,1,0,1,0,,,,,0,5,5,1,,,,,,764.374438633211,,,,,,,765.3882594462484,765.3882594462484,765.3882594462484,765.3882594462484,kötény,4,4.127889169380069,769.5420101210475,769.5420101210475,769.5420101210475, ,down,2.1100734788924456,771.6740099424496,771.6740099424496,4,0.656742786988616,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
10,málna,dominó,,,,,,,,,1,0,1,0,,,,,0,6,6,9,,,,,,772.352271030657,,,,,,,773.3776986021549,773.3776986021549,773.3776986021549,773.3776986021549,málna,4,1.9929901463910937,775.3948409641162,775.3948409641162,775.3948409641162, ,down,1.6977707501500845,777.1240750672296,777.1240750672296,4,0.8442407660186291,,,,,,,,,,,,,,,,,,,,785280,2022-08-30_17h50.00.728,palt,2022.2.2,51.66486434510096,
